Episode;Steps;Reward;Time
0;103;92;2020-07-18T21:44:00.302763
1;108;97;2020-07-18T21:44:15.098814
2;86;75;2020-07-18T21:44:27.496500
3;132;121;2020-07-18T21:44:44.911851
4;115;104;2020-07-18T21:45:00.471296
5;73;62;2020-07-18T21:45:12.200940
6;86;75;2020-07-18T21:45:49.182992
7;96;85;2020-07-18T21:46:27.241487
8;113;102;2020-07-18T21:47:07.180514
9;95;84;2020-07-18T21:47:43.772850
10;103;92;2020-07-18T21:48:22.630437
11;86;75;2020-07-18T21:48:59.563627
12;83;72;2020-07-18T21:49:36.160231
13;93;82;2020-07-18T21:50:13.885529
14;103;92;2020-07-18T21:50:52.822633
15;112;101;2020-07-18T21:51:32.666048
16;86;75;2020-07-18T21:52:09.514463
17;179;168;2020-07-18T21:52:57.046641
18;167;156;2020-07-18T21:53:43.197028
19;195;184;2020-07-18T21:54:32.395211
20;197;186;2020-07-18T21:55:21.734960
21;176;165;2020-07-18T21:56:08.652254
22;345;334;2020-07-18T21:57:14.713135
23;193;182;2020-07-18T21:58:03.806427
24;183;172;2020-07-18T21:58:51.766818
25;190;179;2020-07-18T21:59:40.425198
26;191;180;2020-07-18T22:00:29.099290
27;238;227;2020-07-18T22:01:23.169202
28;368;357;2020-07-18T22:02:31.860546
29;222;211;2020-07-18T22:03:13.750168
30;222;211;2020-07-18T22:03:53.443058
31;1000;1000;2020-07-18T22:06:00.032880
32;1000;1000;2020-07-18T22:08:19.284669
33;1000;1000;2020-07-18T22:10:38.614002
34;1000;1000;2020-07-18T22:12:57.892184
35;1000;1000;2020-07-18T22:15:16.577965
36;1000;1000;2020-07-18T22:17:34.213491
37;1000;1000;2020-07-18T22:19:40.914601
38;1000;1000;2020-07-18T22:21:47.589160
39;1000;1000;2020-07-18T22:24:06.606746
40;1000;1000;2020-07-18T22:26:26.045254
41;1000;1000;2020-07-18T22:28:45.303140
